Model|Stamp|Lower|Upper|Solver_Time|Overall_Time|Solver_Info|Method
model1_LPV4D_x31.6|2020.04.14. Tuesday 02:56:58 id:2359|0|2.61089501020792|1207.135934|1265.57953|Successfully solved (MOSEK)|Polytopic a. with Finsler
model1_LPV4D_x56.2|2020.04.14. Tuesday 02:57:08 id:2359|0|2.67745923984867|3.534007|10.653777|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x56.2|2020.04.14. Tuesday 03:00:58 id:2359|0|2.77834860730295|214.746968|227.849765|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x56.2|2020.04.14. Tuesday 03:01:39 id:2359|0|2.81994196725838|0|40.731293|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x56.2|2020.04.14. Tuesday 03:03:18 id:2359|2.02851105805651|2.81917041397138|0|98.721856|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x56.2|2020.04.14. Tuesday 03:26:50 id:2359|0|2.68469457975552|1354.525006|1411.801982|Successfully solved (MOSEK)|Polytopic a. with Finsler
model1_LPV4D_x177.8|2020.04.14. Tuesday 03:27:01 id:2359|0|2.68252038881997|3.774749|10.950752|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x177.8|2020.04.14. Tuesday 03:31:10 id:2359|0|2.78058262438168|233.257565|246.698744|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x177.8|2020.04.14. Tuesday 03:31:53 id:2359|0|2.82072910307767|0|43.393223|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x177.8|2020.04.14. Tuesday 03:33:36 id:2359|2.02851105805651|2.81932602818647|0|101.982148|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x177.8|2020.04.14. Tuesday 03:52:26 id:2359|0|2.75319928434571|1072.333035|1129.817671|Successfully solved (MOSEK)|Polytopic a. with Finsler
model1_LPV4D_x316.2|2020.04.14. Tuesday 03:52:36 id:2359|0|2.68288661040889|2.736833|9.7418|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x316.2|2020.04.14. Tuesday 03:56:30 id:2359|0|2.7807241834886|219.50136|232.449974|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x316.2|2020.04.14. Tuesday 03:57:13 id:2359|0|2.82318853468453|0|43.504951|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x316.2|2020.04.14. Tuesday 03:58:58 id:2359|2.02851105805651|2.81930701683456|0|104.121977|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x316.2|2020.04.14. Tuesday 04:16:53 id:2359|0|2.76510884284798|1016.344122|1074.532588|Successfully solved (MOSEK)|Polytopic a. with Finsler
model1_LPV4D_x562.3|2020.04.14. Tuesday 04:17:02 id:2359|0|2.68300096654232|2.515655|9.595843|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x562.3|2020.04.14. Tuesday 04:20:55 id:2359|0|2.78075685811572|217.322241|230.257677|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x562.3|2020.04.14. Tuesday 04:21:37 id:2359|0|2.82031935321688|0|42.432822|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x562.3|2020.04.14. Tuesday 04:23:23 id:2359|2.02851105805651|2.81813077694576|0|105.386024|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x562.3|2020.04.14. Tuesday 04:42:54 id:2359|0|2.77316765539124|1114.586926|1171.120258|Successfully solved (MOSEK)|Polytopic a. with Finsler
